filename,video-duration,fps,video-frames
undercover-left_videos_20220414_122520.mp4,60.0,30.0,1800
undercover-left_videos_20220414_101617.mp4,60.0,30.0,1800
undercover-left_videos_20220414_081926.mp4,60.0,30.0,1800
undercover-left_videos_20220414_132339.mp4,60.0,30.0,1800
undercover-left_videos_20220414_080705.mp4,60.0,30.0,1800
undercover-left_videos_20220414_070303.mp4,60.0,30.0,1800
undercover-left_videos_20220414_070156.mp4,60.0,30.0,1800
undercover-left_videos_20220414_075912.mp4,60.0,30.0,1800
undercover-left_videos_20220414_191740.mp4,60.0,30.0,1800
undercover-left_videos_20220414_110433.mp4,60.0,30.0,1800
undercover-left_videos_20220414_104958.mp4,60.0,30.0,1800
undercover-left_videos_20220414_203917.mp4,60.0,30.0,1800
undercover-left_videos_20220414_201440.mp4,60.0,30.0,1800
undercover-left_videos_20220414_215314.mp4,60.0,30.0,1800
undercover-left_videos_20220414_193212.mp4,60.0,30.0,1800
undercover-left_videos_20220414_201909.mp4,60.0,30.0,1800
undercover-left_videos_20220414_192637.mp4,60.0,30.0,1800
undercover-left_videos_20220414_195112.mp4,60.0,30.0,1800
undercover-left_videos_20220414_193319.mp4,60.0,30.0,1800
undercover-left_videos_20220414_232817.mp4,60.0,30.0,1800
undercover-left_videos_20220414_221749.mp4,60.0,30.0,1800
undercover-left_videos_20220414_200905.mp4,60.0,30.0,1800
undercover-left_videos_20220414_174246.mp4,60.0,30.0,1800
undercover-left_videos_20220414_214952.mp4,60.0,30.0,1800
undercover-left_videos_20220414_220103.mp4,60.0,30.0,1800
undercover-left_videos_20220414_225551.mp4,60.0,30.0,1800
undercover-left_videos_20220414_224909.mp4,60.0,30.0,1800
undercover-left_videos_20220414_133558.mp4,60.0,30.0,1800
undercover-left_videos_20220414_145736.mp4,60.0,30.0,1800
undercover-left_videos_20220414_142150.mp4,60.0,30.0,1800
undercover-left_videos_20220414_141935.mp4,60.0,30.0,1800
undercover-left_videos_20230403_081652.mp4,60.0,30.0,1800
undercover-left_videos_20230403_164502.mp4,60.0,30.0,1800
undercover-left_videos_20230403_065651.mp4,60.0,30.0,1800
undercover-left_videos_20230403_132859.mp4,60.0,30.0,1800
undercover-left_videos_20230403_101455.mp4,60.0,30.0,1800
undercover-left_videos_20220912_091714.mp4,111.0,30.0,3330
undercover-left_videos_20220912_140807.mp4,94.0,30.0,2820
undercover-left_videos_20220912_153701.mp4,101.0,30.0,3030
undercover-left_videos_20220912_170743.mp4,96.0,30.0,2880
undercover-left_videos_20220912_165020.mp4,139.0,30.0,4170
undercover-left_videos_20220912_175810.mp4,86.0,30.0,2580
undercover-left_videos_20220912_092409.mp4,120.0,30.0,3600
undercover-left_videos_20220912_124226.mp4,112.0,30.0,3360
undercover-left_videos_20220912_150813.mp4,129.0,30.0,3870
undercover-left_videos_20220912_171407.mp4,98.0,30.0,2940
undercover-left_videos_20220912_175450.mp4,109.0,30.0,3270
undercover-left_videos_20230328_070031.mp4,60.0,30.0,1800
undercover-left_videos_20230328_111936.mp4,60.0,30.0,1800
undercover-left_videos_20230328_000725.mp4,60.0,30.0,1800
undercover-left_videos_20230328_081432.mp4,60.0,30.0,1800
undercover-left_videos_20230328_091634.mp4,60.0,30.0,1800
undercover-left_videos_20230328_065230.mp4,60.0,30.0,1800
undercover-left_videos_20230328_000324.mp4,60.0,30.0,1800
undercover-left_videos_20230328_001025.mp4,60.0,30.0,1800
undercover-left_videos_20230328_084033.mp4,60.0,30.0,1800
undercover-left_videos_20230328_105636.mp4,60.0,30.0,1800
undercover-left_videos_20220607_132656.mp4,60.0,30.0,1800
undercover-left_videos_20220607_143941.mp4,60.0,30.0,1800
undercover-left_videos_20220607_153255.mp4,60.0,30.0,1800
undercover-left_videos_20220607_172246.mp4,60.0,30.0,1800
undercover-left_videos_20220607_124724.mp4,60.0,30.0,1800
undercover-left_videos_20220607_130524.mp4,60.0,30.0,1800
undercover-left_videos_20220607_122913.mp4,60.0,30.0,1800
undercover-left_videos_20220607_094852.mp4,60.0,30.0,1800
undercover-left_videos_20220607_122238.mp4,60.0,30.0,1800
undercover-left_videos_20220607_093519.mp4,60.0,30.0,1800
undercover-left_videos_20230317_123348.mp4,60.0,30.0,1800
undercover-left_videos_20230317_083946.mp4,60.0,30.0,1800
undercover-left_videos_20230317_100847.mp4,60.0,30.0,1800
undercover-left_videos_20230317_112648.mp4,60.0,30.0,1800
undercover-left_videos_20230317_081546.mp4,60.0,30.0,1800
undercover-left_videos_20230317_124348.mp4,60.0,30.0,1800
undercover-left_videos_20230317_102647.mp4,60.0,30.0,1800
